,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Chui,0,UY,1583037421,88,-33.7,-53.46,291.78,1.97
1,Vila Franca do Campo,40,PT,1583037421,88,37.72,-25.43,290.15,6.7
2,New Norfolk,75,AU,1583037421,49,-42.78,147.06,295.93,4.6
3,Cidreira,0,BR,1583037421,75,-30.18,-50.21,295.87,7.07
4,Geraldton,0,AU,1583037422,33,-28.77,114.6,305.15,8.2
5,Busselton,47,AU,1583037422,30,-33.65,115.33,299.82,8.61
6,Tuktoyaktuk,40,CA,1583037423,74,69.45,-133.04,241.15,3.6
7,Kyren,99,RU,1583037424,81,51.68,102.14,261.27,2.33
8,Bredasdorp,35,ZA,1583037424,87,-34.53,20.04,291.48,3.6
9,West Point,1,US,1583037424,75,33.61,-88.65,283.15,2.73
10,Puerto Ayora,11,EC,1583037424,100,-0.74,-90.35,299.82,2.68
11,Clyde River,1,CA,1583037424,74,70.47,-68.59,240.15,7.2
12,Tuatapere,76,NZ,1583037425,60,-46.13,167.68,290.37,0.92
13,Saint Paul Harbor,40,US,1583037425,86,57.79,-152.41,274.15,0.89
14,Kapaa,75,US,1583037261,64,22.08,-159.32,299.15,11.3
15,Hermanus,2,ZA,1583037425,58,-34.42,19.23,292.04,9.55
16,Punta Arenas,75,CL,1583037343,82,-53.15,-70.92,286.15,3.6
17,Vaini,20,TO,1583037426,74,-21.2,-175.2,303.15,4.1
18,Kavieng,76,PG,1583037426,67,-2.57,150.8,302.84,0.56
19,Zaysan,89,KZ,1583037426,93,47.47,84.87,266.15,1.64
20,Roebourne,31,AU,1583037426,39,-20.78,117.13,310.65,7.6
21,Hasaki,75,JP,1583037427,41,35.73,140.83,290.93,2.1
22,Dutse,67,NG,1583037427,18,11.76,9.34,293.82,2.54
23,Acapulco de Juárez,5,MX,1583037145,78,16.86,-99.89,300.15,1.15
24,Ampanihy,93,MG,1583037427,79,-24.7,44.75,294.14,6.39
25,Albany,20,US,1583037427,62,42.6,-73.97,266.15,4.6
26,Ukiah,1,US,1583037428,61,39.15,-123.21,282.59,3.1
27,Pisco,40,PE,1583037428,88,-13.7,-76.22,295.15,6.2
28,Bluff,60,NZ,1583037428,57,-46.6,168.33,291.54,2.76
29,Cumana,90,VE,1583037428,74,10.46,-64.18,299.15,6.7
30,Ushuaia,75,AR,1583037407,87,-54.8,-68.3,284.15,10.3
31,Pingyi,85,CN,1583037429,50,35.5,117.63,283.33,5.05
32,Hilo,40,US,1583037321,64,19.73,-155.09,296.15,3.97
33,Puerto Cabello,35,VE,1583037429,83,10.47,-68.01,297.31,4.36
34,Cherskiy,2,RU,1583037430,94,68.75,161.3,252.8,2.63
35,Tatarskaya Kargala,90,RU,1583037430,92,51.95,55.17,271.15,3.0
36,Castro,45,BR,1583037430,96,-24.79,-50.01,286.24,2.35
37,Colares,20,PT,1583037430,87,38.8,-9.45,288.15,5.7
38,Yunhe,100,CN,1583037431,73,34.08,119.72,282.42,4.08
39,Khatanga,89,RU,1583037431,93,71.97,102.5,256.64,5.54
40,Mataura,52,NZ,1583037431,58,-46.19,168.86,290.36,3.92
41,Labuan,75,MY,1583037431,66,5.28,115.24,305.15,1.5
42,Pevek,100,RU,1583037432,99,69.7,170.31,252.76,2.43
43,Yellowknife,5,CA,1583037432,75,62.46,-114.35,246.48,3.6
44,Rikitea,100,PF,1583037432,80,-23.12,-134.97,299.88,6.54
45,São Filipe,21,CV,1583037432,62,14.9,-24.5,295.03,10.13
46,Ternovskaya,93,RU,1583037433,76,45.85,40.41,277.06,2.56
47,Atuona,31,PF,1583037433,77,-9.8,-139.03,301.11,7.68
48,Popondetta,100,PG,1583037433,85,-8.75,148.25,300.21,1.14
49,Chokurdakh,0,RU,1583037433,85,70.63,147.92,253.01,2.53
50,Vao,78,NC,1583037434,84,-22.67,167.48,300.0,6.06
51,Ust'-Barguzin,99,RU,1583037434,86,53.45,108.98,266.98,1.45
52,Corinth,20,GR,1583037434,64,37.94,22.96,282.04,2.1
53,Zhigansk,82,RU,1583037434,96,66.77,123.37,252.82,2.54
54,Bethel,1,US,1583037435,44,41.37,-73.41,269.82,2.6
55,Butaritari,96,KI,1583037435,81,3.07,172.79,301.47,10.21
56,Kaitangata,41,NZ,1583037435,86,-46.28,169.85,287.37,6.5
57,Lorengau,99,PG,1583037435,78,-2.02,147.27,301.45,3.17
58,Tiksi,43,RU,1583037435,84,71.69,128.87,255.21,4.09
59,Ostrovnoy,100,RU,1583037436,90,68.05,39.51,270.14,6.64
60,Hobart,75,AU,1583037436,49,-42.88,147.33,295.93,4.6
61,Omboué,100,GA,1583037436,93,-1.57,9.26,296.25,0.78
62,Arraial do Cabo,95,BR,1583037436,92,-22.97,-42.03,296.59,5.46
63,Ribeira Grande,87,PT,1583037437,86,38.52,-28.7,287.88,10.1
64,Margate,66,GB,1583037438,75,51.38,1.39,279.26,9.3
65,Hithadhoo,33,MV,1583037438,77,-0.6,73.08,301.32,5.66
66,Tayoltita,0,MX,1583037438,56,24.08,-105.93,288.33,2.4
67,Maniitsoq,95,GL,1583037438,71,65.42,-52.9,256.28,1.16
68,Port-Gentil,100,GA,1583037438,78,-0.72,8.78,300.53,4.77
69,Lavrentiya,0,RU,1583037439,89,65.58,-171.0,251.45,3.63
70,Challans,90,FR,1583037439,87,46.84,-1.87,281.48,2.1
71,Qaanaaq,0,GL,1583037439,66,77.48,-69.36,241.19,2.38
72,Canutama,96,BR,1583037439,96,-6.53,-64.38,296.06,0.3
73,Pacocha,82,PE,1583037440,87,-17.58,-71.33,295.7,0.67
74,Bonthe,1,SL,1583037440,95,7.53,-12.51,296.55,2.25
75,Nikolskoye,100,RU,1583037440,92,59.7,30.79,271.48,3.0
76,Zemio,0,CF,1583037440,30,5.03,25.14,297.57,0.36
77,Mar del Plata,0,AR,1583037407,93,-38.0,-57.56,293.15,1.0
78,Shimoda,75,JP,1583037441,54,34.67,138.95,289.82,5.1
79,Cape Town,0,ZA,1583037240,87,-33.93,18.42,289.82,2.6
80,Mount Gambier,40,AU,1583037418,60,-37.83,140.77,296.15,2.6
